Date,Open,High,Low,Close,Adj Close
12-02-21,15186.2,15243.5,15081,15163.3,15163.3
15-02-21,15270.3,15340.15,15243.4,15314.7,15314.7
16-02-21,15371.45,15431.75,15242.2,15313.45,15313.45
17-02-21,15279.9,15314.3,15170.75,15208.9,15208.9
18-02-21,15238.7,15250.75,15078.05,15118.95,15118.95
19-02-21,15074.8,15144.05,14898.2,14981.75,14981.75
22-02-21,14999.05,15010.1,14635.05,14675.7,14675.7
23-02-21,14782.25,14854.5,14651.85,14707.8,14707.8
24-02-21,14729.15,15008.8,14504.5,14982,14982
25-02-21,15079.85,15176.5,15065.35,15097.35,15097.35
26-02-21,14888.6,14919.45,14467.75,14529.15,14529.15
01-03-21,14702.5,14806.8,14638.55,14761.55,14761.55
02-03-21,14865.3,14959.1,14760.8,14919.1,14919.1
03-03-21,15064.4,15273.15,14995.8,15245.6,15245.6
04-03-21,15026.75,15202.35,14980.2,15080.75,15080.75
05-03-21,14977.95,15092.35,14862.1,14938.1,14938.1
08-03-21,15002.45,15111.15,14919.9,14956.2,14956.2
09-03-21,15049.9,15126.85,14925.45,15098.4,15098.4
10-03-21,15202.15,15218.45,15100.85,15174.8,15174.8
12-03-21,15321.15,15336.3,14953.6,15030.95,15030.95
15-03-21,15048.4,15048.4,14745.85,14929.5,14929.5
16-03-21,14996.1,15051.6,14890.65,14910.45,14910.45
17-03-21,14946.55,14956.55,14696.05,14721.3,14721.3
18-03-21,14855.5,14875.2,14478.6,14557.85,14557.85
19-03-21,14471.15,14788.25,14350.1,14744,14744
22-03-21,14736.3,14763.9,14597.85,14736.4,14736.4
23-03-21,14768.55,14878.6,14707,14814.75,14814.75
24-03-21,14712.45,14752.35,14535,14549.4,14549.4
25-03-21,14570.9,14575.6,14264.4,14324.9,14324.9
26-03-21,14506.3,14572.9,14414.25,14507.3,14507.3
30-03-21,14628.5,14876.3,14617.6,14845.1,14845.1
31-03-21,14811.85,14813.75,14670.25,14690.7,14690.7
01-04-21,14798.4,14883.2,14692.45,14867.35,14867.35
05-04-21,14837.7,14849.85,14459.5,14637.8,14637.8
06-04-21,14737,14779.1,14573.9,14683.5,14683.5
07-04-21,14716.45,14879.8,14649.85,14819.05,14819.05
08-04-21,14875.65,14984.15,14821.1,14873.8,14873.8
09-04-21,14882.65,14918.45,14785.65,14834.85,14834.85
12-04-21,14644.65,14652.5,14248.7,14310.8,14310.8
13-04-21,14364.9,14528.9,14274.9,14504.8,14504.8
15-04-21,14522.4,14597.55,14353.2,14581.45,14581.45
16-04-21,14599.6,14697.7,14559,14617.85,14617.85
19-04-21,14306.6,14382.3,14191.4,14359.45,14359.45
20-04-21,14526.7,14526.95,14207.3,14296.4,14296.4
22-04-21,14219.15,14424.75,14151.4,14406.15,14406.15
23-04-21,14326.35,14461.15,14273.3,14341.35,14341.35
26-04-21,14449.45,14557.5,14421.3,14485,14485
27-04-21,14493.8,14667.55,14484.85,14653.05,14653.05
28-04-21,14710.5,14890.25,14694.95,14864.55,14864.55
29-04-21,14979,15044.35,14814.45,14894.9,14894.9
30-04-21,14747.35,14855.45,14601.7,14631.1,14631.1
03-05-21,14481.05,14673.85,14416.25,14634.15,14634.15
04-05-21,14687.25,14723.4,14461.5,14496.5,14496.5
05-05-21,14604.15,14637.9,14506.6,14617.85,14617.85
06-05-21,14668.35,14743.9,14611.5,14724.8,14724.8
07-05-21,14816.85,14863.05,14765.5,14823.15,14823.15
10-05-21,14928.25,14966.9,14892.5,14942.35,14942.35
11-05-21,14789.7,14900,14771.4,14850.75,14850.75
12-05-21,14823.55,14824.05,14649.7,14696.5,14696.5
14-05-21,14749.4,14749.65,14591.9,14677.8,14677.8
17-05-21,14756.25,14938,14725.35,14923.15,14923.15
18-05-21,15067.2,15137.25,15043.7,15108.1,15108.1
19-05-21,15058.6,15133.4,15008.85,15030.15,15030.15
20-05-21,15042.6,15069.8,14884.9,14906.05,14906.05
21-05-21,14987.8,15190,14985.85,15175.3,15175.3
24-05-21,15211.35,15256.25,15145.45,15197.7,15197.7
25-05-21,15291.75,15293.85,15163.4,15208.45,15208.45
26-05-21,15257.05,15319.9,15194.95,15301.45,15301.45
27-05-21,15323.95,15384.55,15272.5,15337.85,15337.85
